origin;destination;year;month;avg_time_difference;count;;;;;;
EHRD;EDMO;2022;3;4237.0;1;;;;;;
EHRD;EBZW;2022;3;4092.0;1;;;;;;
EHGG;EDLS;2022;3;13315.0;1;;;;;;
EHHV;EBZH;2022;3;3130.5;2;;;;;;
EHTX;EHBD;2022;3;6662.0;2;;;;;;
EHBD;EHSE;2022;3;1582.75;4;;;;;;
EHBK;LROP;2022;3;8281.0;2;;;;;;
EHRD;EBOS;2022;3;3589.0;1;;;;;;
EHAM;LSMP;2022;3;4195.0;1;;;;;;
EHSE;EHBD;2022;3;1690.25;4;;;;;;
EHRD;ESMS;2022;3;3941.0;1;;;;;;
EHTE;EDGS;2022;3;4433.0;1;;;;;;
EHAM;LDZK;2022;3;4857.8;5;;;;;;
EHST;EDWS;2022;3;875.0;1;;;;;;
EHAM;ESSA;2022;3;6.123.536.231.884.050;138;;;;;;
EHDL;EHGR;2022;3;6733.0;1;;;;;;
EHSE;EBKT;2022;3;11087.0;4;;;;;;
EHAM;LPPT;2022;3;942.956.886.227.545;167;;;;;;
EHMZ;EHDL;2022;3;3290.0;1;;;;;;
EHAL;EHTE;2022;3;34.295.714.285.714.200;7;;;;;;
EHHO;EDWO;2022;3;2617.5;2;;;;;;
EHDS;EHAM;2022;3;2187.0;1;;;;;;
EHAM;ENGM;2022;3;5.075.730.569.948.180;193;;;;;;
EHEH;EBMB;2022;3;994.0;1;;;;;;
EHAM;EBMB;2022;3;1401.36;25;;;;;;
EHSE;EHGG;2022;3;5.359.470.588.235.290;17;;;;;;
EHGG;EPWA;2022;3;5678.0;1;;;;;;
EHMZ;EBSG;2022;3;2294.0;2;;;;;;
EHBK;LFHS;2022;3;3161.0;1;;;;;;
EHBD;EHTX;2022;3;15244.0;2;;;;;;
EHAM;EGPK;2022;3;4181.0;1;;;;;;
EHRD;ELLX;2022;3;1972.0;1;;;;;;
EHBK;LEIB;2022;3;6905.0;2;;;;;;
EHRD;EHMZ;2022;3;18.135.263.157.894.700;19;;;;;;
EHEH;LIBR;2022;3;7.289.875;8;;;;;;
EHRD;EDDP;2022;3;3132.0;2;;;;;;
EHTE;EDDG;2022;3;5780.0;2;;;;;;
EHTE;EDWR;2022;3;2181.0;1;;;;;;
EHLE;EDWE;2022;3;3135.0;1;;;;;;
EHBK;EHLE;2022;3;3748.0;2;;;;;;
EHMZ;EBAW;2022;3;19.783.333.333.333.300;6;;;;;;
EHBK;LFOT;2022;3;5115.0;1;;;;;;
EHEH;EBOS;2022;3;3516.0;1;;;;;;
EHHO;EHDS;2022;3;762.5;2;;;;;;
EHAM;LFXA;2022;3;39.431.470.588.235.200;34;;;;;;
EHEH;EHEH;2022;3;9.127.880.952.380.950;84;;;;;;
EHAM;EPLL;2022;3;4500.0;1;;;;;;
EHRD;ETHM;2022;3;4597.0;1;;;;;;
