origin,destination,year(firstseen),month(firstseen),count
EHRD,LFTH,2019,9,2
EHRD,LIAR,2019,9,1
EHRD,LEPA,2019,9,21
EHRD,EGKK,2019,9,1
EHRD,LFDF,2019,9,1
EHRD,LDRI,2019,9,1
EHRD,EGGW,2019,9,1
EHRD,EFRO,2019,9,1
EHRD,LGRP,2019,9,8
EHRD,LEMG,2019,9,28
EHRD,EBBR,2019,9,1
EHRD,LPAR,2019,9,7
EHRD,LZIB,2019,9,1
EHRD,LIRF,2019,9,16
EHRD,LDSR,2019,9,6
EHRD,EGNV,2019,9,1
EHRD,LIBR,2019,9,6
EHRD,LFCM,2019,9,2
EHRD,LIRP,2019,9,9
EHRD,EGPG,2019,9,2
EHRD,EFHK,2019,9,1
EHRD,EHAM,2019,9,5
EHRD,EDDB,2019,9,1
EHRD,LFNG,2019,9,2
EHRD,LELL,2019,9,4
EHRD,LEBL,2019,9,24
EHRD,EHGG,2019,9,9
EHRD,LFNL,2019,9,1
EHRD,LDPL,2019,9,14
EHRD,LPPT,2019,9,12
EHRD,LFTW,2019,9,3
EHRD,LFBX,2019,9,9
EHRD,LFME,2019,9,1
EHRD,LDPM,2019,9,2
EHRD,LICJ,2019,9,6
EHRD,LFNL,2021,8,2
EHRD,LEPA,2021,8,25
EHRD,LEMD,2021,8,1
EHRD,ESGG,2021,8,1
EHRD,LGKO,2021,8,16
EHRD,LDZD,2021,8,2
EHRD,LPFR,2021,8,44
EHRD,LEIB,2021,8,32
EHRD,LEAP,2021,8,9
EHRD,LEAL,2021,8,47
EHRD,LFTW,2021,8,2
EHRD,LEMG,2021,8,29
EHRD,LD57,2021,8,3
EHRD,LEBL,2021,8,30
EHRD,LDPL,2021,8,20
EHRD,LICP,2021,8,2
EHRD,LFBX,2021,8,8
EHRD,LGRP,2021,8,2
EHRD,LFTH,2021,8,2
EHRD,LFIK,2021,8,1
EHRD,LSZM,2021,8,1
EHRD,LFNO,2021,8,1
EHRD,LSZH,2021,8,1
EHRD,LFCM,2021,8,2
EHRD,LPPT,2021,8,17
EHRD,LDSR,2021,8,3
EHRD,LICJ,2021,8,3
EHRD,EHAM,2021,8,2
EHRD,EKSB,2021,8,1
EHRD,LFTF,2021,8,1
EHRD,LIBR,2021,8,7
EHRD,LFIB,2021,8,1
EHRD,LFNG,2021,8,1
EHRD,LPAR,2021,8,2
EHRD,LEGE,2021,8,2
EHRD,LDPM,2021,8,5
EHRD,LIRZ,2021,8,8
EHRD,LPPT,2019,11,4
EHRD,LKVO,2019,11,1
EHRD,LFIB,2019,11,1
EHRD,LICP,2019,11,1
EHRD,EGPG,2019,11,1
EHRD,LFBX,2019,11,1
EHRD,LIRF,2019,11,16
EHRD,LEAL,2019,11,3
EHRD,LELL,2019,11,7
EHRD,EHAM,2019,11,2
EHRD,EGLC,2019,11,70
EHRD,LYBE,2019,11,1
EHRD,LFDF,2019,11,1
EHRD,LOWW,2019,11,16
EHRD,LEBL,2019,11,14
EHRD,LPAR,2019,11,4
EHRD,LEMG,2019,11,24
EHRD,LPFR,2019,11,23
EHRD,LICJ,2019,11,5
EHRD,ENVA,2019,11,1
EHRD,LEMU,2019,11,1
EHRD,LKPR,2021,10,1
EHRD,LPCS,2021,10,1
EHRD,LSZM,2021,10,1
EHRD,LIMC,2021,10,1
EHRD,LIRZ,2021,10,8
EHRD,EGML,2021,10,1
EHRD,LIBR,2021,10,5
EHRD,LFIB,2021,10,1
EHRD,LDSR,2021,10,1
EHRD,EHAM,2021,10,4
EHRD,LFDF,2021,10,1
EHRD,EDDM,2021,10,2
EHRD,LEMG,2021,10,30
EHRD,LFIK,2021,10,1
EHRD,LICP,2021,10,2
EHRD,LD57,2021,10,1
EHRD,LEAL,2021,10,51
EHRD,LFBX,2021,10,4
EHRD,LFBE,2021,10,1
EHRD,LIRF,2021,10,14
EHRD,LPFR,2021,10,55
EHRD,LPAR,2021,10,7
EHRD,EGLC,2021,10,29
EHRD,LGRP,2021,10,1
EHRD,EHEH,2021,10,1
EHRD,LFNG,2021,10,1
EHRD,LEAP,2021,10,5
EHRD,LPPT,2021,10,13
EHRD,LFTH,2021,10,1
EHRD,LDPM,2021,10,1
EHRD,LGKO,2021,10,10
EHRD,EDDB,2021,10,2
EHRD,EBMB,2021,10,1
EHRD,LEIB,2021,10,27
EHRD,LEBL,2021,10,21
EHRD,LICJ,2021,10,5
EHRD,LELL,2021,10,1
EHRD,LEPA,2021,10,18
EHRD,LGRP,2019,5,8
EHRD,LFMS,2019,5,1
EHRD,LPAR,2019,5,2
EHRD,LEGE,2019,5,3
EHRD,EDDF,2019,5,1
EHRD,LDSB,2019,5,3
EHRD,LIRF,2019,5,17
EHRD,EHAM,2019,5,3
EHRD,LDSR,2019,5,17
EHRD,LDSP,2019,5,5
EHRD,LIRP,2019,5,15
EHRD,LEMG,2019,5,17
EHRD,LFNX,2019,5,1
EHRD,EHBK,2019,5,1
EHRD,EDDH,2019,5,1
EHRD,LGKO,2019,5,8
