origin,destination,count
EHAM,EPKS,13
EHAM,LFPE,4
EHAM,ETHC,3
EHAM,LHHH,1
EHAM,EDLD,3
EHBK,EGNT,2
EHAM,EDHI,4
EHAM,ESML,8
EHAM,EDQN,1
EHAM,EGML,5
EHAM,LOGT,1
EHAM,EDAV,1
EHAM,LIMZ,1
EHAM,LIPC,3
EHAM,LEJR,1
EHAM,LHGD,2
EHBK,LFOB,1
EHBK,EGLL,4
EHRD,LDZA,4
EHRD,LFJD,1
EHAM,EBOS,6
EHBK,EBCI,3
EHRD,EDDN,2
EHEH,LHDC,44
EHBK,EDDC,1
EHAM,LOWL,4
EHAM,EDPI,6
EHEH,EDLR,1
EHAM,EGTR,3
EHAM,EG19,54
EHBK,LERM,1
EHAM,EGKL,4
EHAM,LBTG,1
EHAM,EPKM,29
EHAM,LELM,1
EHEH,LERM,1
EHRD,BIKF,1
EHBK,LIMN,1
EHAM,LFPA,2
EHRD,LFNU,1
EHRD,LESB,1
EHAM,EGXE,106
EHEH,LFFY,1
EHBK,LOWG,2
EHAM,LKRA,2
EHAM,LBWN,2
EHAM,LFPN,2
EHRD,LDSH,1
EHEH,EITM,5
EHRD,LIRU,1
EHEH,LKRK,3
EHGG,EGSU,1
EHEH,LIPQ,3
EHEH,LBTG,1
EHRD,EIDW,1
EHBK,LFDH,5
EHEH,EDDL,2
EHBK,ESDF,1
EHRD,EDDS,1
EHRD,EHBK,1
EHRD,EBLG,3
EHAM,EKOD,1
EHEH,LGKY,3
EHRD,EDAM,1
EHBK,EHVK,1
EHEH,EIBA,3
EHEH,ELLX,1
EHBK,LFDQ,2
EHEH,ESSG,3
EHEH,LIDH,4
EHAM,EDCR,1
EHAM,LFDH,1
EHAM,EGNG,1
EHRD,EDDF,3
EHAM,ESSB,10
EHAM,EGHG,1
EHBK,ESGG,3
EHAM,LIDH,3
EHEH,EPGL,4
EHAM,EPGL,1
EHEH,EDDV,1
EHEH,LIQG,1
EHRD,LFNX,1
