origin,destination,year(firstseen),month(firstseen),count
EHEH,EYVI,2021,3,4
EHEH,LIME,2021,3,1
EHEH,EPGD,2021,3,1
EHEH,LEAL,2021,3,12
EHEH,LEPA,2022,8,52
EHEH,LEAL,2022,8,70
EHEH,EPMR,2022,8,7
EHEH,LIPH,2022,8,6
EHEH,EYVI,2022,8,10
EHEH,EPGD,2022,8,23
EHEH,EPWA,2022,8,12
EHEH,EPPO,2022,8,5
EHEH,EGSX,2022,8,1
EHEH,EPLR,2022,8,3
EHEH,EGCC,2022,8,13
EHEH,LFNR,2022,8,3
EHEH,LBLS,2022,8,6
EHEH,LEBB,2022,8,2
EHEH,EPKT,2022,8,16
EHEH,EPWR,2022,8,1
EHEH,LGKN,2022,8,1
EHEH,LBSF,2022,8,12
EHEH,EPKK,2022,8,10
EHEH,LGRP,2022,8,15
EHEH,LGKO,2022,8,19
EHEH,LIRF,2022,8,3
EHEH,EIDW,2022,8,12
EHEH,LEMG,2022,8,42
EHEH,EHRD,2022,8,1
EHEH,EVEA,2022,8,2
EHEH,EVRA,2022,8,4
EHEH,LWOH,2022,8,1
EHEH,EYKA,2022,8,6
EHEH,EHAM,2022,8,2
EHEH,LDRG,2022,8,8
EHEH,LGAV,2022,8,7
EHEH,LROP,2022,8,4
EHEH,LERS,2022,8,4
EHEH,EGPH,2022,8,7
EHEH,LRIA,2022,8,2
EHEH,LEBL,2022,8,54
EHEH,LAGJ,2022,8,2
EHEH,LHTM,2022,8,2
EHEH,LPFR,2022,8,68
EHEH,LEZL,2022,8,17
EHEH,LPPR,2022,8,29
EHEH,LGTS,2022,8,11
EHEH,LIME,2022,8,2
EHEH,EPMO,2022,8,3
EHEH,LKPR,2022,8,14
EHEH,LIRP,2022,8,3
EHEH,EPRJ,2022,8,3
EHEH,EGSS,2022,8,73
EHEH,LIPZ,2022,8,2
EHEH,EPSW,2022,8,1
EHEH,LFML,2022,8,8
EHEH,LATI,2022,8,7
EHEH,LHBP,2022,8,28
EHEH,LPPT,2022,8,35
EHEH,LOWW,2022,8,1
EHEH,LZIB,2022,8,2
EHEH,LEIB,2022,8,60
EHEH,EPRZ,2022,8,3
EHEH,LBWV,2022,8,12
EHEH,LEGE,2022,8,1
EHEH,LDRI,2022,8,4
EHEH,EPLE,2022,8,5
EHEH,LFMN,2022,8,27
EHEH,LEMD,2022,8,10
EHEH,LMML,2022,8,1
EHEH,LPAR,2022,8,3
EHEH,EVRS,2022,8,1
EHEH,LIPE,2022,8,16
EHEH,EKCH,2022,8,13
EHEH,LFMY,2022,8,1
EHEH,LYBE,2022,8,12
EHEH,LFPG,2022,8,2
EHEH,LICZ,2022,8,1
EHEH,LOWL,2019,11,1
EHEH,LELL,2019,11,6
EHEH,EDDB,2019,11,1
EHEH,LEAL,2019,11,8
EHEH,EPMR,2019,11,2
EHEH,LIDU,2019,11,3
EHEH,EHAM,2019,11,3
EHEH,LIPM,2019,11,3
EHEH,EYRU,2019,11,3
EHEH,LIRA,2019,11,10
EHEH,EGCC,2019,11,14
EHEH,EGPH,2019,11,7
EHEH,LIPE,2019,11,6
EHEH,EHWO,2019,11,1
EHEH,EPKK,2019,11,30
EHEH,EGBB,2019,11,1
EHEH,LYBE,2019,11,7
EHEH,LKPR,2019,11,20
EHEH,EPLR,2019,11,3
EHEH,LEMD,2019,11,11
EHEH,LGAV,2019,11,15
EHEH,EPPO,2019,11,8
EHEH,LMML,2019,11,3
EHEH,LEBL,2019,11,12
EHEH,LICZ,2019,11,2
EHEH,LPFR,2019,11,36
EHEH,EPWA,2019,11,14
EHEH,LKKL,2019,11,1
EHEH,EYVP,2019,11,1
EHEH,LFML,2019,11,5
EHEH,LIPH,2019,11,13
EHEH,LIQL,2019,11,1
EHEH,LPVL,2019,11,1
EHEH,LPPT,2019,11,22
EHEH,EGSS,2019,11,63
EHEH,LPIN,2019,11,1
EHEH,LYBT,2019,11,10
EHEH,ESSA,2019,11,7
EHEH,EVRA,2019,11,13
EHEH,LEZL,2019,11,22
EHEH,LFNR,2019,11,1
EHEH,EYKA,2019,11,6
EHEH,LPPR,2019,11,15
EHEH,LEMG,2019,11,39
EHEH,LZIB,2019,11,9
EHEH,EYVI,2019,11,4
EHEH,LKVO,2019,11,6
EHEH,LHBP,2019,11,11
EHEH,EPLE,2019,11,12
EHEH,EPKT,2019,11,30
EHEH,LIBR,2019,11,8
EHEH,LGKN,2019,11,4
EHEH,LEMU,2019,11,3
EHEH,LPAR,2019,11,25
EHEH,LE85,2019,11,1
EHEH,LROP,2019,11,13
EHEH,LEPA,2019,11,8
EHEH,LOWW,2019,11,9
EHEH,EPLB,2019,11,1
EHEH,EPGD,2019,11,20
EHEH,EPSW,2019,11,3
EHEH,EKCH,2019,11,15
EHEH,LILV,2019,11,2
EHEH,LEGE,2019,11,2
EHEH,EPWR,2019,11,6
EHEH,EYRD,2019,11,4
EHEH,LIRP,2019,11,3
EHEH,EIDW,2019,11,20
EHEH,LIME,2019,11,17
EHEH,LEIB,2019,11,5
EHEH,LIRF,2021,12,10
EHEH,LEMG,2021,12,49
EHEH,LEDS,2021,12,1
EHEH,EPGD,2021,12,15
EHEH,LBWV,2021,12,9
EHEH,LHBP,2021,12,5
EHEH,LIRP,2021,12,2
EHEH,EYKA,2021,12,1
EHEH,LEMD,2021,12,18
EHEH,LEZL,2021,12,21
EHEH,EPLE,2021,12,3
EHEH,LIPH,2021,12,3
EHEH,EDDM,2021,12,1
EHEH,LGAV,2021,12,3
EHEH,LFIX,2021,12,1
EHEH,LOWS,2021,12,10
EHEH,LFBY,2021,12,1
EHEH,LYBE,2021,12,7
EHEH,EPZB,2021,12,2
EHEH,EPMO,2021,12,1
EHEH,LPPT,2021,12,13
EHEH,LIDU,2021,12,1
EHEH,LIME,2021,12,2
EHEH,LPAR,2021,12,6
EHEH,LROP,2021,12,7
EHEH,EYVI,2021,12,7
EHEH,LOWI,2021,12,19
EHEH,EPKT,2021,12,21
EHEH,EPRZ,2021,12,1
EHEH,LPFR,2021,12,26
EHEH,LEAL,2021,12,56
EHEH,LIMC,2021,12,5
EHEH,EPKK,2021,12,32
EHEH,LOWW,2021,12,1
EHEH,LFML,2021,12,1
EHEH,LBWN,2021,12,1
EHEH,LEBL,2021,12,35
